VehicleID,DriverName,Age,Gender,Speed,TravelDistance,TravelTime,TrafficEvent
1,Driver_1,62,Male,17.0,242.0,854.1176471,Normal
2,Driver_2,65,Male,128.0,438.0,205.3125,Accident
3,Driver_3,18,Male,167.0,792.0,284.5508982,Breakdown
5,Driver_5,21,Male,193.0,364.0,113.1606218,Breakdown
6,Driver_6,57,Female,48.0,620.0,775.0,Accident
7,Driver_7,27,Female,45.0,535.0,713.3333333,Normal
8,Driver_8,37,Male,122.0,349.0,171.6393443,Breakdown
9,Driver_9,39,Male,177.0,44.0,14.91525424,Accident
10,Driver_10,68,Male,22.0,7.0,19.09090909,Breakdown
11,Driver_11,54,Male,92.0,910.0,593.4782609,Traffic Jam
12,Driver_12,41,Female,65.0,206.0,190.1538462,Traffic Jam
13,Driver_13,24,Female,85.0,146.0,103.0588235,Breakdown
14,Driver_14,42,Male,66.0,425.0,386.3636364,Traffic Jam
15,Driver_15,42,Male,32.0,638.0,1196.25,Accident
16,Driver_16,30,Female,178.0,479.0,161.4606742,Normal
17,Driver_17,19,Male,70.0,453.0,388.2857143,Normal
18,Driver_18,56,Female,102.0,787.0,462.9411765,Breakdown
19,Driver_19,57,Female,163.0,753.0,277.1779141,Breakdown
20,Driver_20,41,Male,151.0,131.0,52.05298013,Accident
21,Driver_21,64,Male,122.0,28.0,13.7704918,Normal
22,Driver_22,42,Female,82.0,393.0,287.5609756,Normal
23,Driver_23,35,Female,102.0,748.0,440.0,Accident
24,Driver_24,55,Male,89.0,208.0,140.2247191,Traffic Jam
25,Driver_25,43,Female,79.0,564.0,428.3544304,Normal
26,Driver_26,31,Male,113.0,216.0,114.6902655,Breakdown
27,Driver_27,26,Male,155.0,944.0,365.4193548,Traffic Jam
28,Driver_28,27,Female,85.0,832.0,587.2941176,Normal
31,Driver_31,34,Male,115.0,861.0,449.2173913,Normal
32,Driver_32,69,Female,81.0,943.0,698.5185185,Normal
33,Driver_33,23,Male,139.0,911.0,393.2374101,Accident
34,Driver_34,33,Male,64.0,755.0,707.8125,Breakdown
35,Driver_35,65,Male,67.0,175.0,156.7164179,Normal
36,Driver_36,18,Female,189.0,174.0,55.23809524,Normal
37,Driver_37,36,Female,54.0,610.0,677.7777778,Breakdown
38,Driver_38,53,Female,36.0,261.0,435.0,Accident
39,Driver_39,42,Male,126.0,885.0,421.4285714,Traffic Jam
41,Driver_41,69,Female,197.0,373.0,113.6040609,Accident
42,Driver_42,47,Male,125.0,64.0,30.72,Traffic Jam
43,Driver_43,37,Male,190.0,275.0,86.84210526,Breakdown
44,Driver_44,37,Female,196.0,485.0,148.4693878,Accident
45,Driver_45,32,Female,169.0,201.0,71.36094675,Normal
46,Driver_46,57,Female,144.0,120.0,50.0,Normal
47,Driver_47,50,Female,185.0,315.0,102.1621622,Traffic Jam
48,Driver_48,19,Male,133.0,714.0,322.1052632,Normal
49,Driver_49,27,Female,96.0,751.0,469.375,Traffic Jam
50,Driver_50,50,Female,22.0,398.0,1085.454545,Accident
51,Driver_51,49,Male,131.0,525.0,240.4580153,Normal
52,Driver_52,28,Male,136.0,670.0,295.5882353,Traffic Jam
53,Driver_53,41,Female,62.0,591.0,571.9354839,Breakdown
54,Driver_54,53,Female,92.0,361.0,235.4347826,Accident
55,Driver_55,29,Female,169.0,78.0,27.69230769,Normal
56,Driver_56,68,Female,74.0,650.0,527.027027,Normal
57,Driver_57,46,Female,102.0,943.0,554.7058824,Traffic Jam
58,Driver_58,52,Male,92.0,701.0,457.173913,Breakdown
59,Driver_59,18,Male,95.0,589.0,372.0,Normal
60,Driver_60,18,Female,108.0,230.0,127.7777778,Traffic Jam
61,Driver_61,54,Male,139.0,670.0,289.2086331,Normal
62,Driver_62,23,Female,162.0,110.0,40.74074074,Accident
63,Driver_63,56,Male,91.0,76.0,50.10989011,Normal
64,Driver_64,58,Female,49.0,493.0,603.6734694,Traffic Jam
65,Driver_65,35,Female,71.0,882.0,745.3521127,Traffic Jam
66,Driver_66,33,Male,167.0,921.0,330.8982036,Traffic Jam
67,Driver_67,22,Female,102.0,828.0,487.0588235,Breakdown
68,Driver_68,59,Female,119.0,969.0,488.5714286,Breakdown
69,Driver_69,60,Female,58.0,656.0,678.6206897,Accident
71,Driver_71,19,Female,73.0,673.0,553.1506849,Breakdown
72,Driver_72,19,Female,88.0,493.0,336.1363636,Normal
73,Driver_73,57,Male,140.0,255.0,109.2857143,Normal
74,Driver_74,59,Male,59.0,721.0,733.220339,Traffic Jam
77,Driver_77,29,Male,150.0,115.0,46.0,Traffic Jam
78,Driver_78,64,Male,180.0,370.0,123.3333333,Normal
79,Driver_79,36,Male,66.0,12.0,10.90909091,Normal
80,Driver_80,45,Male,71.0,272.0,229.8591549,Traffic Jam
81,Driver_81,18,Female,109.0,282.0,155.2293578,Breakdown
82,Driver_82,32,Female,72.0,790.0,658.3333333,Normal
85,Driver_85,60,Male,79.0,989.0,751.1392405,Traffic Jam
86,Driver_86,38,Male,79.0,763.0,579.4936709,Breakdown
87,Driver_87,29,Female,41.0,860.0,1258.536585,Breakdown
88,Driver_88,22,Male,150.0,109.0,43.6,Breakdown
89,Driver_89,24,Male,147.0,457.0,186.5306122,Breakdown
90,Driver_90,22,Male,62.0,860.0,832.2580645,Normal
91,Driver_91,65,Female,29.0,477.0,986.8965517,Traffic Jam
93,Driver_93,30,Female,139.0,620.0,267.6258993,Traffic Jam
94,Driver_94,54,Male,125.0,104.0,49.92,Normal
95,Driver_95,58,Female,99.0,100.0,60.60606061,Normal
96,Driver_96,32,Female,26.0,415.0,957.6923077,Accident
97,Driver_97,33,Male,103.0,757.0,440.9708738,Normal
98,Driver_98,38,Female,72.0,938.0,781.6666667,Normal
