CustomerID,Name,Age,Income,LoanAmount,LoanTerm,CreditScore,Default,TransactionHistory
1,Customer_1,62.0,9021.0,12200,13,808,0,"[{""amount"": 795, ""date"": ""2023-09-06""}, {""amount"": 707, ""date"": ""2023-02-13""}, {""amount"": 428, ""date"": ""2023-09-09""}, {""amount"": 651, ""date"": ""2023-02-04""}, {""amount"": 391, ""date"": ""2023-08-12""}, {""amount"": 866, ""date"": ""2023-07-07""}, {""amount"": 520, ""date"": ""2023-02-19""}, {""amount"": 630, ""date"": ""2023-11-07""}, {""amount"": 346, ""date"": ""2023-07-11""}, {""amount"": 797, ""date"": ""2023-02-17""}, {""amount"": 847, ""date"": ""2023-08-31""}, {""amount"": 804, ""date"": ""2023-05-03""}, {""amount"": 781, ""date"": ""2023-05-26""}]"
2,Customer_2,65.0,18187.0,29983,46,378,0,"[{""amount"": 865, ""date"": ""2023-02-10""}, {""amount"": 327, ""date"": ""2023-10-18""}, {""amount"": 959, ""date"": ""2023-04-26""}, {""amount"": 644, ""date"": ""2023-06-02""}, {""amount"": 735, ""date"": ""2023-01-10""}, {""amount"": 703, ""date"": ""2023-01-14""}]"
3,Customer_3,18.0,14912.0,27265,35,819,0,"[{""amount"": 398, ""date"": ""2023-09-10""}, {""amount"": 380, ""date"": ""2023-11-01""}, {""amount"": 407, ""date"": ""2023-06-09""}, {""amount"": 772, ""date"": ""2023-06-22""}, {""amount"": 702, ""date"": ""2023-05-17""}, {""amount"": 117, ""date"": ""2023-04-22""}, {""amount"": 762, ""date"": ""2023-09-14""}, {""amount"": 594, ""date"": ""2023-01-07""}, {""amount"": 307, ""date"": ""2023-05-30""}]"
4,Customer_4,21.0,6517.0,9870,11,823,0,"[{""amount"": 217, ""date"": ""2023-04-26""}, {""amount"": 635, ""date"": ""2023-11-11""}, {""amount"": 239, ""date"": ""2023-02-24""}, {""amount"": 420, ""date"": ""2023-08-17""}, {""amount"": 124, ""date"": ""2023-02-11""}, {""amount"": 390, ""date"": ""2023-07-14""}, {""amount"": 236, ""date"": ""2023-05-13""}]"
6,Customer_6,57.0,13528.0,6099,9,850,0,"[{""amount"": 223, ""date"": ""2023-11-26""}, {""amount"": 512, ""date"": ""2023-03-31""}, {""amount"": 849, ""date"": ""2023-11-21""}, {""amount"": 642, ""date"": ""2023-02-17""}, {""amount"": 517, ""date"": ""2023-04-28""}, {""amount"": 705, ""date"": ""2023-08-10""}, {""amount"": 568, ""date"": ""2023-11-06""}, {""amount"": 860, ""date"": ""2023-09-05""}, {""amount"": 436, ""date"": ""2023-12-18""}, {""amount"": 522, ""date"": ""2023-07-13""}, {""amount"": 421, ""date"": ""2023-06-08""}, {""amount"": 909, ""date"": ""2023-06-15""}, {""amount"": 398, ""date"": ""2023-01-02""}, {""amount"": 802, ""date"": ""2023-01-06""}]"
7,Customer_7,27.0,9008.0,7556,13,469,0,"[{""amount"": 237, ""date"": ""2023-03-09""}, {""amount"": 130, ""date"": ""2023-06-01""}, {""amount"": 437, ""date"": ""2023-05-19""}, {""amount"": 659, ""date"": ""2023-06-26""}, {""amount"": 490, ""date"": ""2023-11-23""}, {""amount"": 121, ""date"": ""2023-08-24""}, {""amount"": 383, ""date"": ""2023-10-22""}, {""amount"": 264, ""date"": ""2023-09-21""}, {""amount"": 114, ""date"": ""2023-02-07""}, {""amount"": 387, ""date"": ""2023-03-14""}, {""amount"": 519, ""date"": ""2023-11-24""}, {""amount"": 187, ""date"": ""2023-11-11""}, {""amount"": 679, ""date"": ""2023-12-30""}, {""amount"": 565, ""date"": ""2023-12-27""}, {""amount"": 992, ""date"": ""2023-11-06""}, {""amount"": 392, ""date"": ""2023-07-29""}, {""amount"": 773, ""date"": ""2023-07-31""}, {""amount"": 387, ""date"": ""2023-03-28""}, {""amount"": 615, ""date"": ""2023-12-31""}]"
8,Customer_8,37.0,10292.0,10830,56,334,0,"[{""amount"": 900, ""date"": ""2023-08-21""}, {""amount"": 875, ""date"": ""2023-07-17""}, {""amount"": 243, ""date"": ""2023-04-20""}, {""amount"": 846, ""date"": ""2023-03-17""}, {""amount"": 350, ""date"": ""2023-10-17""}]"
11,Customer_11,54.0,6997.0,29638,30,370,0,"[{""amount"": 916, ""date"": ""2023-06-27""}, {""amount"": 441, ""date"": ""2023-05-09""}, {""amount"": 634, ""date"": ""2023-03-05""}, {""amount"": 949, ""date"": ""2023-10-21""}, {""amount"": 736, ""date"": ""2023-02-15""}, {""amount"": 602, ""date"": ""2023-02-17""}]"
12,Customer_12,41.0,14792.0,39245,56,431,0,"[{""amount"": 532, ""date"": ""2023-02-11""}, {""amount"": 347, ""date"": ""2023-03-27""}, {""amount"": 201, ""date"": ""2023-04-07""}, {""amount"": 564, ""date"": ""2023-01-18""}, {""amount"": 638, ""date"": ""2023-09-19""}, {""amount"": 808, ""date"": ""2023-11-09""}, {""amount"": 685, ""date"": ""2023-08-02""}, {""amount"": 911, ""date"": ""2023-11-16""}, {""amount"": 765, ""date"": ""2023-04-25""}, {""amount"": 572, ""date"": ""2023-07-17""}, {""amount"": 418, ""date"": ""2023-07-18""}, {""amount"": 795, ""date"": ""2023-05-22""}, {""amount"": 368, ""date"": ""2023-05-11""}]"
13,Customer_13,24.0,8056.0,5442,35,391,0,"[{""amount"": 162, ""date"": ""2023-09-04""}, {""amount"": 868, ""date"": ""2023-01-20""}, {""amount"": 775, ""date"": ""2023-12-09""}, {""amount"": 631, ""date"": ""2023-09-07""}, {""amount"": 735, ""date"": ""2023-01-31""}, {""amount"": 603, ""date"": ""2023-08-26""}, {""amount"": 304, ""date"": ""2023-09-01""}, {""amount"": 803, ""date"": ""2023-01-26""}, {""amount"": 917, ""date"": ""2023-01-18""}]"
15,Customer_15,42.0,16591.0,48392,23,407,0,"[{""amount"": 819, ""date"": ""2023-08-11""}, {""amount"": 279, ""date"": ""2023-12-12""}, {""amount"": 584, ""date"": ""2023-02-26""}, {""amount"": 866, ""date"": ""2023-05-18""}, {""amount"": 978, ""date"": ""2023-12-18""}, {""amount"": 263, ""date"": ""2023-09-30""}, {""amount"": 203, ""date"": ""2023-09-27""}, {""amount"": 980, ""date"": ""2023-02-10""}, {""amount"": 453, ""date"": ""2023-04-22""}, {""amount"": 537, ""date"": ""2023-04-18""}, {""amount"": 990, ""date"": ""2023-05-21""}, {""amount"": 109, ""date"": ""2023-02-11""}, {""amount"": 372, ""date"": ""2023-02-05""}, {""amount"": 425, ""date"": ""2023-02-05""}, {""amount"": 553, ""date"": ""2023-04-04""}, {""amount"": 405, ""date"": ""2023-10-16""}, {""amount"": 863, ""date"": ""2023-11-29""}]"
16,Customer_16,30.0,11988.0,38793,49,681,0,"[{""amount"": 719, ""date"": ""2023-10-29""}, {""amount"": 872, ""date"": ""2023-09-19""}, {""amount"": 445, ""date"": ""2023-12-12""}, {""amount"": 282, ""date"": ""2023-02-23""}, {""amount"": 103, ""date"": ""2023-02-14""}, {""amount"": 639, ""date"": ""2023-12-12""}, {""amount"": 400, ""date"": ""2023-06-19""}, {""amount"": 702, ""date"": ""2023-03-26""}]"
17,Customer_17,19.0,9018.0,19036,39,407,0,"[{""amount"": 112, ""date"": ""2023-12-04""}, {""amount"": 705, ""date"": ""2023-11-26""}, {""amount"": 294, ""date"": ""2023-07-13""}, {""amount"": 796, ""date"": ""2023-04-10""}, {""amount"": 887, ""date"": ""2023-08-20""}]"
19,Customer_19,57.0,17811.0,14818,20,799,0,"[{""amount"": 192, ""date"": ""2023-04-06""}, {""amount"": 948, ""date"": ""2023-11-02""}, {""amount"": 457, ""date"": ""2023-04-22""}, {""amount"": 715, ""date"": ""2023-04-11""}, {""amount"": 271, ""date"": ""2023-02-01""}, {""amount"": 165, ""date"": ""2023-09-08""}, {""amount"": 134, ""date"": ""2023-04-11""}, {""amount"": 398, ""date"": ""2023-07-23""}, {""amount"": 319, ""date"": ""2023-08-30""}, {""amount"": 579, ""date"": ""2023-06-18""}, {""amount"": 356, ""date"": ""2023-07-15""}, {""amount"": 422, ""date"": ""2023-03-08""}, {""amount"": 401, ""date"": ""2023-07-29""}, {""amount"": 880, ""date"": ""2023-12-26""}, {""amount"": 589, ""date"": ""2023-12-10""}, {""amount"": 362, ""date"": ""2023-03-28""}, {""amount"": 928, ""date"": ""2023-05-08""}]"
20,Customer_20,41.0,8460.0,36851,48,755,0,"[{""amount"": 668, ""date"": ""2023-07-26""}, {""amount"": 420, ""date"": ""2023-05-05""}, {""amount"": 392, ""date"": ""2023-04-07""}, {""amount"": 840, ""date"": ""2023-01-19""}, {""amount"": 893, ""date"": ""2023-12-17""}, {""amount"": 579, ""date"": ""2023-07-07""}, {""amount"": 627, ""date"": ""2023-08-05""}, {""amount"": 890, ""date"": ""2023-11-19""}]"
22,Customer_22,42.0,11425.0,23281,22,301,0,"[{""amount"": 290, ""date"": ""2023-08-12""}, {""amount"": 667, ""date"": ""2023-10-18""}, {""amount"": 850, ""date"": ""2023-10-15""}, {""amount"": 567, ""date"": ""2023-11-10""}, {""amount"": 713, ""date"": ""2023-01-24""}, {""amount"": 688, ""date"": ""2023-08-27""}, {""amount"": 180, ""date"": ""2023-12-20""}, {""amount"": 642, ""date"": ""2023-04-02""}]"
