cylinders,displacement,horsepower,weight,acceleration,model year,origin,mpg
8.0,1.502862443002326,1.592425708365619,0.8388135037398263,-1.4886974191893938,70.0,1,15.0
8.0,1.1955447534774897,1.199834739045638,0.5371906421530175,-1.6708856725790102,70.0,1,18.0
8.0,1.0610932643103737,1.199834739045638,0.533669752718152,-1.3065091657997774,70.0,1,16.0
8.0,1.0418859087150716,0.9381074261656509,0.5524478297041012,-1.8530739259686264,70.0,1,17.0
8.0,2.2615529890167663,2.456125840869577,1.5993256216707683,-2.035262179358243,70.0,1,15.0
8.0,2.5016449339580444,3.031925929205549,1.6145828092218522,-2.3996386861374757,70.0,1,14.0
8.0,2.3671934447909284,2.9010622727655555,1.5652903571337355,-2.581826939527092,70.0,1,14.0
8.0,1.8870095549083716,2.2467439905655873,1.0230733841644526,-2.581826939527092,70.0,1,15.0
8.0,1.4068256650258149,1.4615620519256254,0.7402285995635931,-2.764015192916708,70.0,1,14.0
8.0,1.983046332884883,1.199834739045638,0.9186203309301103,-2.2174504327478592,70.0,1,15.0
8.0,2.5112486117556956,3.162789585645543,0.12642020808537902,-2.035262179358243,70.0,1,14.0
6.0,0.05270709555700419,-0.18732001921829447,-0.23975229314063012,-0.031191392072462895,70.0,1,18.0
6.0,0.062310773354655326,-0.5013927946742792,-0.45922106791391126,0.15099686131715345,70.0,1,21.0
4.0,-0.9268680398034119,-0.422874600810283,-0.9955698918250849,-0.39556789885169563,70.0,3,27.0
4.0,-0.9268680398034119,-1.5221293149062296,-1.341790686253523,1.7906911418237006,70.0,2,26.0
4.0,-0.8020202284339472,-0.44904733209828174,-0.3594625339260562,0.6975616214860025,70.0,2,25.0
4.0,-0.8308312618269006,-0.37052913823428557,-0.6434809483385376,-0.39556789885169563,70.0,2,24.0
4.0,-0.859642295219854,-0.23966548179429192,-0.708030587977738,0.6975616214860025,70.0,2,25.0
8.0,1.5988992209788375,2.9010622727655555,1.9209001900551481,-0.5777561522413119,70.0,1,10.0
8.0,1.089904297703327,2.5084713034455746,1.6404026650775323,-0.21337964546207924,70.0,1,10.0
8.0,1.1955447534774897,2.770198616325562,1.647444443947263,-0.7599444056309284,70.0,1,11.0
8.0,1.0610932643103737,2.3252621844295835,2.0582148780149017,1.0619381282652351,70.0,1,9.0
4.0,-0.9268680398034119,-0.422874600810283,-0.9955698918250849,-0.39556789885169563,71.0,3,27.0
4.0,-0.513909894504413,-0.37052913823428557,-0.8383034970677604,-0.031191392072462895,71.0,1,28.0
4.0,-0.7732091950409937,-0.23966548179429192,-0.8805541702861461,-0.5777561522413119,71.0,3,25.0
6.0,0.36962846287949175,-0.10880182535429828,-0.4040604667676855,-0.9421326590205447,71.0,1,19.0
6.0,0.3024027182959338,0.02206183108569536,0.540711531587883,-0.031191392072462895,71.0,1,16.0
6.0,0.5424946632372123,-0.10880182535429828,0.4116122523094823,-0.031191392072462895,71.0,1,17.0
6.0,0.36962846287949175,-0.10880182535429828,0.3634934300329875,-0.031191392072462895,71.0,1,18.0
8.0,1.502862443002326,1.592425708365619,1.4444064865366875,-1.3065091657997774,71.0,1,14.0
8.0,1.983046332884883,1.8541530212456063,1.7436820885002526,-1.4886974191893938,71.0,1,14.0
8.0,1.5124661207999772,1.2783529329096344,1.3798568468974872,-0.7599444056309284,71.0,1,14.0
8.0,1.1955447534774897,1.199834739045638,1.3117863178234215,-0.9421326590205447,71.0,1,14.0
8.0,1.8197838103248136,1.9850166776856,2.3199343260065683,-1.4886974191893938,71.0,1,12.0
8.0,1.983046332884883,1.7232893648056127,2.0746456953776073,-1.3065091657997774,71.0,1,13.0
8.0,1.983046332884883,1.8541530212456063,2.5370558411566058,-1.3065091657997774,71.0,1,13.0
6.0,0.6193240856184213,0.152925487525689,-0.019109888555727178,-0.7599444056309284,71.0,1,18.0
6.0,0.5424946632372123,-0.10880182535429828,0.35645165116325656,-0.21337964546207924,71.0,1,19.0
6.0,0.5424946632372123,-0.422874600810283,0.1886225881013357,-0.39556789885169563,71.0,1,18.0
4.0,-0.7443981616480403,-0.37052913823428557,-1.0037853005064377,-0.5777561522413119,71.0,2,28.0
4.0,-1.0997342401611325,-0.8939837639942602,-1.0612931612759071,1.426314635044468,71.0,2,30.0
4.0,-1.0133011399822722,-0.7369473762662677,-1.0718558295805034,-0.39556789885169563,71.0,2,30.0
4.0,-1.1765636625423417,-1.0248474204342537,-1.414555734574076,1.2441263816548516,71.0,3,31.0
4.0,-1.1669599847446905,-0.9201564952822588,-1.602336504433568,0.8797498748756188,71.0,3,35.0
4.0,-0.9268680398034119,-1.1557110768742473,-1.3429643160651448,1.2441263816548516,71.0,2,27.0
4.0,-0.9844901065893188,-0.8939837639942602,-1.200955108858904,1.7906911418237006,71.0,1,26.0
4.0,-0.7732091950409937,-0.23966548179429192,-0.821872679705055,-0.031191392072462895,72.0,3,24.0
4.0,-0.9220662009045864,-0.6322564511142729,-1.0002644110715722,0.5153733680963862,72.0,1,25.0
4.0,-0.9268680398034119,-1.31274746460224,-0.8500397951839787,2.8838206621613987,72.0,2,23.0
4.0,-0.513909894504413,-0.37052913823428557,-0.6693008041942178,1.426314635044468,72.0,1,20.0
4.0,-0.6867760948621335,-0.4752200633862805,-0.8829014299093898,0.3331851147067698,72.0,1,21.0
8.0,1.502862443002326,1.592425708365619,1.520692424292106,-1.3065091657997774,72.0,1,13.0
8.0,1.983046332884883,1.8541530212456063,1.6509653333821286,-1.3065091657997774,72.0,1,14.0
