实际值	预测值
1	1.0004934
1	1.0454291
1	1.0173682
1	0.9799692
1	1.0039194
1	1.0021654
1	1.0013194
1	1.0021845
1	1.0007621
1	0.99938476
1	1.0462788
1	1.2080654
1	0.98992
1	0.9936618
1	1.0004419
1	0.99659514
1	0.93474823
1	0.7905724
1	1.0637621
1	1.0016932
1	0.9947713
1	1.0012223
1	0.94108444
1	0.9963241
1	0.99427044
1	1.0022079
1	0.9999664
1	0.970016
1	0.9931938
1	1.0036807
1	1.0301735
1	1.1032928
1	0.99835336
1	0.9956127
1	0.9313417
1	1.0108691
1	1.115638
1	0.8792204
1	1.1284641
1	1.0091419
1	1.00012
1	0.99687576
1	0.99648327
1	0.9201152
1	1.023618
2	1.1517748
1	1.0033715
1	0.99115264
1	0.99964446
1	0.9351439
1	0.99178934
1	0.99363035
1	0.998314
1	0.9941901
1	0.9989988
1	1.0071839
1	1.0091908
1	1.0023577
2	1.466589
1	1.0041159
1	1.0015957
1	1.0086567
1	0.98896044
1	1.0019795
