实际值	预测值
7975	9585.78125
14268	9142.0
11614	9669.111111111111
7027	10739.725
7967	9493.785714285714
7511	10943.214285714286
12280	10435.25
11295	9777.282608695652
5395	9777.282608695652
7744	9669.111111111111
5466	10525.076923076924
6571	10943.214285714286
9249	9585.78125
8506	9777.282608695652
9491	10739.725
10104	10332.416666666666
10073	10790.5
8943	10381.25
5417	12259.0
12543	9777.282608695652
12892	9493.785714285714
8748	9306.068965517241
10161	9669.111111111111
8581	10943.214285714286
8444	10739.725
10390	9669.111111111111
10536	10383.277777777777
12392	9582.666666666666
6685	9493.785714285714
6365	9585.78125
12869	9669.111111111111
14561	10299.041666666666
9859	9585.78125
10745	10525.076923076924
7141	10790.5
12683	10299.041666666666
14986	9582.666666666666
7479	10381.25
9752	7973.5
7782	11088.0
12526	9306.068965517241
6148	9087.666666666666
5878	10739.725
13004	9306.068965517241
11303	9306.068965517241
9199	10739.725
12208	9306.068965517241
6678	9777.282608695652
13967	9777.282608695652
11541	9669.111111111111
7734	10943.214285714286
12400	8802.615384615385
6693	9142.0
11709	10381.25
12390	9777.282608695652
12330	10525.076923076924
13322	10381.25
8636	10299.041666666666
11015	10332.416666666666
6066	10299.041666666666
12206	9777.282608695652
9465	10435.25
11694	9582.666666666666
10387	9777.282608695652
14874	8802.615384615385
10276	9777.282608695652
11863	9777.282608695652
11528	10383.277777777777
6154	10739.725
9887	10943.214285714286
8051	9777.282608695652
14555	9585.78125
7368	10381.25
13684	9306.068965517241
7489	9585.78125
13529	10381.25
6802	10299.041666666666
7911	6390.0
14467	10739.725
10588	11088.0
10675	9306.068965517241
8420	9433.5
12215	9493.785714285714
5064	10299.041666666666
12860	9669.111111111111
6899	9585.78125
7143	9493.785714285714
6060	10299.041666666666
12270	8802.615384615385
5769	9306.068965517241
9911	10383.277777777777
14274	12259.0
8769	9582.666666666666
13164	9433.5
10463	9306.068965517241
14062	10525.076923076924
10116	9777.282608695652
6059	9306.068965517241
11278	10943.214285714286
10450	10739.725
9380	9585.78125
9555	11640.0
9282	9777.282608695652
12392	9585.78125
10051	9777.282608695652
9495	10525.076923076924
13838	9306.068965517241
6585	9433.5
11776	10299.041666666666
